Franquicia,Mes,Monto Total,Monto Promedio
AMEX,6,21097945.0,1406530.0
AMEX,7,16789951.0,1199282.0
DINERS,6,56932.0,56932.0
DINERS,7,275000.0,275000.0
MASTERCARD,6,296821694.0,963707.0
MASTERCARD,7,505338428.0,973677.0
VISA,6,1008496272.0,960473.0
VISA,7,1140880682.0,855233.0
Total general,,2989756904.0,836354.0
